Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
CT GUIDANCE RADIATION THERAPY FLDS PLACEMENT                                    ,$495.00 ,,
CT GUIDANCE STEREOTACTIC LOCALIZATION                                           ,"$1,627.00 ",,
CT HEAD/BRAIN W/CONTRAST MATERIAL                                               ,"$1,069.00 ",,
CT HEAD/BRAIN W/O & W/CONTRAST MATERIAL                                         ,"$1,188.00 ",,
CT HEAD/BRAIN W/O CONTRAST MATERIAL                                             ,$625.00 ,,
CT HEART CONTRAST EVAL CARDIAC STRUCTURE&MORPH                                  ,$962.00 ,,
CT HEART NO CONTRAST QUANT EVAL CORONRY CALCIUM                                 ,$176.00 ,,
CT HRT CONTRST CARDIAC STRUCT&MORPH CONG HRT D                                  ,$962.00 ,,
CT LIMITED/LOCALIZED FOLLOW UP STUDY                                            ,$391.00 ,,
CT LOWER EXTREMITY W/CONTRAST MATERIAL                                          ,"$1,069.00 ",,
CT LOWER EXTREMITY W/O & W/CONTRAST MATRL                                       ,"$1,188.00 ",,
CT LOWER EXTREMITY W/O CONTRAST MATERIAL                                        ,$625.00 ,,
CT LUMBAR SPINE W/CONTRAST MATERIAL                                             ,"$1,069.00 ",,
CT LUMBAR SPINE W/O & W/CONTRAST MATERIAL                                       ,"$1,704.00 ",,
CT LUMBAR SPINE W/O CONTRAST MATERIAL                                           ,$625.00 ,,
CT MAXILLOFACIAL W/CONTRAST MATERIAL                                            ,"$1,069.00 ",,
CT MAXILLOFACIAL W/O & W/CONTRAST MATERIAL                                      ,"$1,188.00 ",,
CT MAXILLOFACIAL W/O CONTRAST MATERIAL                                          ,$625.00 ,,
CT ORBIT SELLA/POST FOSSA/EAR W/CONTRAST MATRL                                  ,"$1,069.00 ",,
CT ORBIT SELLA/POST FOSSA/EAR W/O & W/CONTR MATR                                ,"$1,188.00 ",,
CT ORBIT SELLA/POST FOSSA/EAR W/O CONTRAST MATRL                                ,$625.00 ,,
CT PELVIS W/CONTRAST MATERIAL                                                   ,"$1,069.00 ",,
CT PELVIS W/O & W/CONTRAST MATERIAL                                             ,"$1,188.00 ",,
CT PELVIS W/O CONTRAST MATERIAL                                                 ,$660.00 ,,
CT SOFT TISSUE NECK W/CONTRAST MATERIAL                                         ,"$1,069.00 ",,
CT SOFT TISSUE NECK W/O & W/CONTRAST MATERIAL                                   ,"$1,188.00 ",,
CT SOFT TISSUE NECK W/O CONTRAST MATERIAL                                       ,$625.00 ,,
CT THORACIC SPINE W/CONTRAST MATERIAL                                           ,"$1,069.00 ",,
CT THORACIC SPINE W/O & W/CONTRAST MATERIAL                                     ,"$1,188.00 ",,
CT THORACIC SPINE W/O CONTRAST MATERIAL                                         ,$780.00 ,,
CT THORAX W/CONTRAST MATERIAL                                                   ,"$1,069.00 ",,
CT THORAX W/O & W/CONTRAST MATERIAL                                             ,"$1,188.00 ",,
CT THORAX W/O CONTRAST MATERIAL                                                 ,$625.00 ,,
CT UPPER EXTREMITY W/CONTRAST MATERIAL                                          ,"$1,069.00 ",,
CT UPPER EXTREMITY W/O & W/CONTRAST MATERIAL                                    ,"$1,188.00 ",,
CT UPPER EXTREMITY W/O CONTRAST MATERIAL                                        ,$625.00 ,,
CTA ABDL AORTA&BI ILIOFEM W/CONTRAST&POSTP                                      ,"$1,224.00 ",,
CTA HRT CORNRY ART/BYPASS GRFTS CONTRST 3D POST                                 ,$962.00 ,,
CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY 1ST                                    ,"$2,358.00 ",,
CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY SUBSQ                                  ,$196.00 ,,
CUL BACT AEROBIC ADDL METHS DEFINITIVE EA ISOL                                  ,$74.00 ,,
CUL BACT ANAEROBIC ADDL METHS DEFINITIVE EA ISOL                                ,$278.00 ,,
CUL BACT STOOL AEROBIC ADDL PATHOGENS&ID EA                                     ,$71.00 ,,
CUL BACT STOOL AEROBIC ISOL SALMONELLA&SHIGELL                                  ,$54.00 ,,
CUL BACT XCPT URINE BLOOD/STOOL AEROBIC ISOL                                    ,$376.00 ,,
CUL FNGI MOLD/YEAST PRSMPTV ID SKN HAIR/NAIL                                    ,$80.00 ,,
CUL PRSMPTV PTHGNC ORGANISM SCRN W/COLONY ESTIMJ                                ,$118.00 ,,
CULTURE BACTERIAL ANY SOURCE ANAEROBIC ISO&ID                                   ,$333.00 ,,
CULTURE BACTERIAL BLOOD AEROBIC W/ID ISOLATES                                   ,$183.00 ,,
CULTURE BACTERIAL QUANTTATIVE COLONY COUNT URINE                                ,$94.00 ,,
CULTURE BCT ISOL&PRSMPTV ID ISOLATE EA URINE                                    ,$75.00 ,,
CULTURE CHLAMYDIA ANY SOURCE                                                    ,$41.00 ,,
CULTURE FNGI MOLD/YEAST ISOL PRSMPTV ISOL BLOOD                                 ,$233.00 ,,
CULTURE FNGI MOLD/YEAST PRSMPTV OTH XCPT BLOOD                                  ,$100.00 ,,
CULTURE FUNGI DEFINITIVE ID EACH ORGANISM MOLD                                  ,$92.00 ,,
CULTURE FUNGI DEFINITIVE ID EACH ORGANISM YEAST                                 ,$80.00 ,,
CULTURE MYCOBACTERIAL DEFINITIVE ID EA ISOL                                     ,$43.00 ,,
CULTURE MYCOPLASMA ANY SOURCE                                                   ,$152.00 ,,
CULTURE TUBERCLE/OTH ACID-FAST BACILLI ANY ISOL                                 ,$145.00 ,,
CULTURE TYPING GAS/HIGH PRES LIQ CHROMATOGRAPHY                                 ,$103.00 ,,
CULTURE TYPING IMMUNOFLUORESCENT EACH ANTISERUM                                 ,$31.00 ,,
CULTURE TYPING IMMUNOLOGIC OTH/THN IMMUNOFLUORES                                ,$409.00 ,,
CULTURE TYPING NUCLEIC ACID PROBE DIR EA ORGANSM                                ,$179.00 ,,
CULTURE TYPING OTHER METHODS                                                    ,$47.00 ,,
CULTYP NUC ACID AMP PRB CULT/ISOLATE EA ORGNISM                                 ,$233.00 ,,
CURETTAGE POSTPARTUM                                                            ,$626.00 ,,
CV STRS TST XERS&/OR RX CONT ECG TRCG ONLY                                      ,$694.00 ,,
CYANOCOBALAMIN VITAMIN B-12                                                     ,$115.00 ,,
CYCLIC CITRULLINATED PEPTIDE ANTIBODY                                           ,$54.00 ,,
"CYCLOPHOSPHAMIDE, 100 MG",$0.00 ,Invoice-based charges,
"CYCLOPHOSPHAMIDE,ORAL,25 MG",$0.00 ,Invoice-based charges,
"CYCLOSPORIN,ORAL,25 MG",$0.00 ,Invoice-based charges,
CYCLOSPORINE ORAL 25 MG,$0.00 ,Invoice-based charges,
"CYCLOSPORINE,ORAL,100 MG",$0.00 ,Invoice-based charges,
"CYCLOSPORINE,PARENTERAL,250MG",$0.00 ,Invoice-based charges,
"CYMETRA, INJECTABLE, 1 CC                                                       ","$1,113.00 ",,
CYP2D6 GENE ANALYSIS COMMON VARIANTS                                            ,$461.00 ,,
CYSTATIN C                                                                      ,$75.00 ,,
CYSTO BLADDER W/URETERAL CATHETERIZATION                                        ,"$1,159.00 ",,
CYSTO CALIBRATION DILAT URTL STRIX/STENOSIS                                     ,"$3,549.00 ",,
CYSTO MANJ W/O RMVL URETERAL STONE                                              ,"$1,322.00 ",,
CYSTO W/COMPLEX REMOVAL STONE & STENT                                           ,"$5,213.00 ",,
CYSTO W/DESTRUCTION OF LESIONS                                                  ,"$5,213.00 ",,
CYSTO W/REMOVAL OF LESIONS SMALL                                                ,"$4,849.00 ",,
CYSTO W/REMOVAL OF TUMORS SMALL                                                 ,"$5,213.00 ",,
CYSTO W/SIMPLE REMOVAL STONE & STENT                                            ,"$3,549.00 ",,
CYSTO W/TX URETERAL STRICTURE                                                   ,"$1,346.00 ",,
CYSTO W/URTRL CATHJ BRUSH BX URTR&/RENAL PELVIS                                 ,"$4,848.00 ",,
CYSTOGRAPHY MINIMUM 3 VIEWS RS&I                                                ,"$1,165.00 ",,
CYSTOURETHROSCOPY                                                               ,"$2,167.00 ",,
CYSTOURETHROSCOPY INJ CHEMODENERVATION BLADDER                                  ,"$5,213.00 ",,
CYSTOURETHROSCOPY W/DIL BLADDER LOCAL ANESTHESIA                                ,"$2,358.00 ",,
CYSTOURETHROSCOPY WITH BIOPSY                                                   ,"$2,358.00 ",,
CYTARABINE 100 MG,$0.00 ,Invoice-based charges,
CYTOGENETICS&MOLEC CYTOGENETICS INTERP&REP                                      ,$184.00 ,,
CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR                                  ,"$3,560.00 ",,
CYTP C/V AUTO THIN LYR PREPJ SCR MNL RESCR PHYS                                 ,$95.00 ,,
CYTP CERV/VAG AUTO THIN LAYER PREP MNL SCREEN                                   ,$99.00 ,,
CYTP EVAL FINE NEEDLE ASPIRATE INTERP & REPORT                                  ,$163.00 ,,
CYTP FLU WASHGS/BRUSHINGS XCPT C/V SMRS INTERPJ                                 ,$268.00 ,,
CYTP SLCTV CELL ENHANCEMENT INTERPJ XCPT C/V                                    ,$339.00 ,,
CYTP SLIDES CERV/VAG MNL SCRN PHYSICIAN SUPV                                    ,$52.00 ,,
CYTP SMRS ANY OTH SRC PREPJ SCR&INTERPJ                                         ,$111.00 ,,
DACARBAZINE 100 MG,$0.00 ,Invoice-based charges,
"DACLIZUMAB, PARENTERAL,25M",$0.00 ,Invoice-based charges,
"DACTINOMYCIN, 0.5 MG",$0.00 ,Invoice-based charges,
DAILY HOSP MGMT EDRL/SARACH CONT DRUG ADMN                                      ,$312.00 ,,
DASATINIB,$0.00 ,Invoice-based charges,
DAUNORUBCIN HCL 10 MG,$0.00 ,Invoice-based charges,
"DAUNORUBICN CITRATE,LIPSM,10MG",$0.00 ,Invoice-based charges,
DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF                                ,$530.00 ,,
DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF                                ,$108.00 ,,
DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM                                     ,$854.00 ,,
DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS                                     ,"$1,680.00 ",,
DCMPRN PERQ NUCLEUS PULPOSUS 1/> LEVELS LUMBAR                                  ,"$8,844.00 ",,
DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM                                       ,"$5,213.00 ",,
DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<                                     ,"$5,213.00 ",,
DEBRIDEMENT MASTOIDECTOMY CAVITY CMPLX                                          ,"$2,358.00 ",,
DEBRIDEMENT MASTOIDECTOMY CAVITY SIMPLE                                         ,$280.00 ,,
DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<                                          ,"$7,098.00 ",,
DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM                                    ,"$5,213.00 ",,
DEBRIDEMENT NAIL ANY METHOD 1-5                                                 ,$530.00 ,,
DEBRIDEMENT NAIL ANY METHOD 6/>                                                 ,$530.00 ,,
DEBRIDEMENT OPEN WOUND 20 SQ CM/<                                               ,"$1,071.00 ",,
DEBRIDEMENT OPEN WOUND EACH ADDITIONAL 20 SQ CM                                 ,$998.00 ,,
DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<                                      ,"$3,854.00 ",,
DECALCIFICATION PROCEDURE                                                       ,$51.00 ,,
DECLOT BY THROMBOLYTIC AGENT IMPLANT DEVICE/CATH                                ,"$1,185.00 ",,
DEFEROXAMINE 500MG,$0.00 ,Invoice-based charges,
DEGARELIX INJ 1 MG,$0.00 ,Invoice-based charges,
DEHYDROEPIANDROSTERONE                                                          ,$122.00 ,,
DEHYDROEPIANDROSTERONE-SULFATE                                                  ,$284.00 ,,
DELAY FLAP/SCTJ FLAP EYELIDS NOSE EARS/LIPS                                     ,"$3,113.00 ",,
DEMO&/EVAL OF PT UTILIZ AERSL GEN/NEB/INHLR/IP                                  ,$508.00 ,,
"DEMONSTRATION, PRIOR TO INITIATION OF HOME INR MONITORI                         ",$462.00 ,,
"DENILEUKIN DIFTITOX,300 MCG",$0.00 ,Invoice-based charges,
DEOXYCORTISOL 11-                                                               ,$81.00 ,,
DEOXYRIBONUCLEASE ANTIBODY                                                      ,$20.00 ,,
DEPO MEDROL INJ 40MG,$0.00 ,Invoice-based charges,
DEPO-MEDROL 40 MG,$0.00 ,Invoice-based charges,
DEPO-MEDROL 80MG,$0.00 ,Invoice-based charges,
"DERMAGRAFT, PER SQUARE CENTIMETER                                               ",$45.00 ,,
DESOXYCORTICOSTERONE 11-                                                        ,$300.00 ,,
DESTRUCTION BENIGN LESIONS 15/>                                                 ,$640.00 ,,
DESTRUCTION BENIGN LESIONS UP TO 14                                             ,$956.00 ,,
DESTRUCTION LESION CONJUNCTIVA                                                  ,"$1,325.00 ",,
DESTRUCTION LESIONS VULVA EXTENSIVE                                             ,"$6,510.00 ",,
DESTRUCTION LESIONS VULVA SIMPLE                                                ,"$3,362.00 ",,
DESTRUCTION MAL LESION F/E/E/N/L/M >4.0 CM                                      ,$546.00 ,,
DESTRUCTION MAL LESION F/E/E/N/L/M 0.6-1.0CM                                    ,$546.00 ,,
DESTRUCTION MAL LESION F/E/E/N/L/M 1.1-2.0CM                                    ,$546.00 ,,
DESTRUCTION MAL LESION F/E/E/N/L/M 2.1-3.0CM                                    ,$546.00 ,,
DESTRUCTION MAL LESION F/E/E/N/L/M 3.1-4.0CM                                    ,$546.00 ,,
DESTRUCTION MAL LESION TRUNK/ARM/LEG > 4.0 CM                                   ,$730.00 ,,
DESTRUCTION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM                                 ,$548.00 ,,
DESTRUCTION MAL LESION TRUNK/ARM/LEG 1.1-2.0CM                                  ,$548.00 ,,
DESTRUCTION MAL LESION TRUNK/ARM/LEG 2.1-3.0CM                                  ,$548.00 ,,
DESTRUCTION MAL LESION TRUNK/ARM/LEG 3.1-4.0CM                                  ,$650.00 ,,
DESTRUCTION MALIGNANT LESION F/E/E/N/L/M 0.5CM/<                                ,$546.00 ,,
DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.5 CM/>                                 ,$546.00 ,,
DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.6-1.0CM                                ,$546.00 ,,
DESTRUCTION MALIGNANT LESION S/N/H/F/G 1.1-2.0CM                                ,$546.00 ,,
DESTRUCTION MALIGNANT LESION S/N/H/F/G 2.1-3.0CM                                ,$546.00 ,,
DESTRUCTION MALIGNANT LESION S/N/H/F/G 3.1-4.0CM                                ,$666.00 ,,
DESTRUCTION MALIGNANT LESION T/A/L 0.5 CM/<                                     ,$548.00 ,,
DESTRUCTION PREMALIGNANT LESION 15/>                                            ,$546.00 ,,
DESTRUCTION PREMALIGNANT LESION 1ST                                             ,$530.00 ,,
DESTRUCTION PREMALIGNANT LESION 2-14 EA                                         ,$530.00 ,,
DESTRUCTION RETINOPATHY CRYOTHERAPY DIATHERMY                                   ,"$1,628.00 ",,
DESTRUCTION VAGINAL LESIONS EXTENSIVE                                           ,"$3,362.00 ",,
DESTRUCTION VAGINAL LESIONS SIMPLE                                              ,"$3,362.00 ",,
DETERMINATION REFRACTIVE STATE                                                  ,$51.00 ,,
DEVELOPMENT OF COGNITIVE SKILLS EACH 15 MINUTES                                 ,$110.00 ,,
DEVELOPMENTAL SCREEN W/SCORING & DOC STD INSTRM                                 ,$501.00 ,,
DEVELOPMENTAL TST ADMIN PHYS/QHP 1ST HOUR                                       ,$492.00 ,,
DEVELOPMENTAL TST ADMIN PHYS/QHP EA ADDL 30 MIN                                 ,$492.00 ,,
DEXAMETHASONE LIQUID .25MG,$0.00 ,Invoice-based charges,
"DEXAMETHASONE(TAB),ORAL,0.25MG",$0.00 ,Invoice-based charges,
"DEXAMETHSONE  NA PHOS,1 MG",$0.00 ,Invoice-based charges,
DEXTROSE IV SOLN.,$0.00 ,Invoice-based charges,
"DIABETES OUTPATIENT SELF-MANAGEMENT TRAINING SERVICES,                          ",$172.00 ,,
DIAGNOSTIC BONE MARROW ASPIRATIONS                                              ,"$1,124.00 ",,
DIAGNOSTIC BONE MARROW BIOPSIES                                                 ,"$1,105.00 ",,
DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS                                   ,"$1,105.00 ",,
DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ BI                                  ,$727.00 ,,
DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ UNI                                 ,$478.00 ,,
DIALYIS CIRCUIT VASC EMBOLI OCCLS EVASC IMG S&I                                 ,$401.00 ,,
DIALYSIS OTHER/THAN HEMODIALYSIS 1 PHYS/QHP EVAL                                ,$399.00 ,,
DIAPHRAGM FOR CONTRACEPTIVE USE                                                 ,$76.00 ,,
DIAPHRAGM/CERVICAL CAP FITTING W/INSTRUCTIONS                                   ,$734.00 ,,
DIAZEPAM 5MG,$0.00 ,Invoice-based charges,
DIETHYLSTILBESTROL 250 MG,$0.00 ,Invoice-based charges,
DIGITAL ANALYSIS ELECTROENCEPHALOGRAM                                           ,"$1,299.00 ",,
DIGITAL BREAST TOMOSYNTHESIS BILATERAL                                          ,$727.00 ,,
DIGITAL BREAST TOMOSYNTHESIS UNILATERAL                                         ,$478.00 ,,
"DIGOXIN IMMUNE FAB(OVINE),VIAL",$0.00 ,Invoice-based charges,
DIGOXIN INJ .5MG,$0.00 ,Invoice-based charges,
DILAT FEMALE URETHRA W/SUPPOSITORY&/INSTLJ INI                                  ,$416.00 ,,
DILAT FEMALE URT W/SUPPOSITORY&/INSTLJ SBSQ                                     ,$416.00 ,,
DILAT URETHRAL STRIX FILIFORM & FOLLWR MALE 1ST                                 ,$348.00 ,,
DILAT URETHRAL STRIX FILIFORM & FOLLWR MALE SBSQ                                ,$696.00 ,,
DILAT&CATHJ SALIVARY DUCT W/WO INJECTION                                        ,$530.00 ,,
DILATION & CURETTAGE DX&/THER NONOBSTETRIC                                      ,$609.00 ,,
DILATION CERVICAL CANAL INSTRUMENTAL SPX                                        ,"$3,974.00 ",,
DILATION ESOPH UNGUIDED SOUND/BOUGIE 1/MULT PASS                                ,$515.00 ,,
DILATION LACRIMAL PUNCTUM W/WO IRRGATION                                        ,"$2,492.00 ",,
DILATION SALIVARY DUCT                                                          ,"$5,213.00 ",,
DILATION URETERS/URETHRA RS&I                                                   ,"$1,081.00 ",,
DIMENHYDRINATE INJ 50MG,$0.00 ,Invoice-based charges,
"DIMERCAPROL 100 MG, INJ",$0.00 ,Invoice-based charges,
DIPHENHYDRAMINE HCL INJ 50MG,$0.00 ,Invoice-based charges,
DIPHENHYDRAMINE UP TO 50MG,$0.00 ,Invoice-based charges,
DIPHTH TETANUS TOX ACELL PERTUSSIS VACC<7 YR IM                                 ,$69.03 ,,
"DIPYRIDAMOLE,PER 10MG",$0.00 ,Invoice-based charges,
DISKOGRAPY CERVICAL/THORACIC RS&I                                               ,"$5,532.00 ",,
DISKOGRAPY LUMBAR RS&I                                                          ,"$5,532.00 ",,
DLYD PLACEMENT XTN PROSTH FOR EVASC RPR 1ST VSL                                 ,"$3,575.00 ",,
DLYD PLACEMENT XTN PROSTH FOR EVASC RPR EA ADDL                                 ,"$3,575.00 ",,
DMD DUPLICATION/DELETION ANALYSIS                                               ,"$3,000.00 ",,
DNA ANTIBODY NATIVE/DOUBLE STRANDED                                             ,$116.00 ,,
DNA ANTIBODY SINGLE STRANDED                                                    ,$72.00 ,,
"DOBUTAMINE,PER 250 MG",$0.00 ,Invoice-based charges,
"DOLASETRON MESYLATE ORAL,100MG",$0.00 ,Invoice-based charges,
DONOR LYMPHOCYTE COLLECTION,$0.00 ,Invoice-based charges,
DOP ECHOCARD COLOR FLOW VELOCITY MAPPING                                        ,"$2,679.00 ",,
DOP ECHOCARD PULSE WAVE W/SPECTRAL F-UP/LMTD STD                                ,"$2,679.00 ",,
DOPPLER ECHO FETAL PULS SPECTRAL F/U/REPEAT                                     ,$363.00 ,,
DOPPLER ECHO FETAL SPECTRAL DISPLAY COMPLETE                                    ,$429.00 ,,
DOPPLER ECHOCARD PULSE WAVE W/SPECTRAL DISPLAY                                  ,$555.00 ,,
DOPPLER VELOCIMETRY FETAL MIDDLE CEREBRAL ART                                   ,$397.00 ,,
DOPPLER VELOCIMETRY FETAL UMBILICAL ARTERY                                      ,$415.00 ,,
DOXIL INJECTION 10MG,$0.00 ,Invoice-based charges,
"DOXORUBICIN HCL, 10 MG",$0.00 ,Invoice-based charges,
DRAINAGE ABSCESS PALATE UVULA                                                   ,"$1,235.00 ",,
DRAINAGE ABSCESS/HEMATOMA NASAL INT APPROACH                                    ,"$1,235.00 ",,
DRAINAGE ABSCESS/HEMATOMA NASAL SEPTUM                                          ,"$1,235.00 ",,
DRAINAGE EXTERNAL AUDITORY CANAL ABSCESS                                        ,$546.00 ,,
DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA SIMPLE                                   ,$772.00 ,,
DRAINAGE FINGER ABSCESS COMPLICATED                                             ,$255.00 ,,
DRAINAGE FINGER ABSCESS SIMPLE                                                  ,$162.00 ,,
DRAINAGE OVARIAN CYST UNI/BI SPX ABDOMINAL                                      ,$378.00 ,,
DRAINAGE OVARIAN CYST UNI/BI SPX VAGINAL APPR                                   ,$523.00 ,,
DRAINAGE SCROTAL WALL ABSCESS                                                   ,"$2,358.00 ",,
DRG ABSC CST HMTMA FROM DENTOALVEOLAR STRUXS                                    ,$87.00 ,,
DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL                                         ,$546.00 ,,
"DRONABINOL,  2.5MG, ORAL",$0.00 ,Invoice-based charges,
DROPERIDOL 5 MG,$0.00 ,Invoice-based charges,
DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE                                     ,$121.00 ,,
DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ MEDIUM                                    ,$136.00 ,,
DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL                                     ,$141.00 ,,
DRUG ASSAY CARBAMAZEPINE TOTAL                                                  ,$82.00 ,,
DRUG ASSAY CYCLOSPORINE                                                         ,$176.00 ,,
DRUG ASSAY EVEROLIMUS                                                           ,$64.00 ,,
DRUG ASSAY VALPROIC DIPROPYLACETIC ACID TOTAL                                   ,$143.00 ,,
DRUG SCREEN QUANT AMPHETAMINES 3 OR 4                                           ,$137.00 ,,
DRUG SCREEN QUANT ANABOLIC STEROID 1 OR 2                                       ,$50.00 ,,
DRUG SCREEN QUANT DIPROPYLACETIC ACID FREE                                      ,$55.00 ,,
DRUG SCREEN QUANTITATIVE ALCOHOLS                                               ,$190.00 ,,
DRUG SCREEN QUANTITATIVE AMIKACIN                                               ,$27.00 ,,
DRUG SCREEN QUANTITATIVE DIGOXIN TOTAL                                          ,$146.00 ,,
DRUG SCREEN QUANTITATIVE ETHOSUXIMIDE                                           ,$78.00 ,,
DRUG SCREEN QUANTITATIVE GENTAMICIN                                             ,$124.00 ,,
DRUG SCREEN QUANTITATIVE HALOPRIDOL                                             ,$171.00 ,,
DRUG SCREEN QUANTITATIVE LIDOCAINE                                              ,$139.00 ,,
DRUG SCREEN QUANTITATIVE LITHIUM                                                ,$67.00 ,,
DRUG SCREEN QUANTITATIVE PHENOBARBITAL                                          ,$82.00 ,,
DRUG SCREEN QUANTITATIVE PHENYTOIN FREE                                         ,$122.00 ,,
DRUG SCREEN QUANTITATIVE PHENYTOIN TOTAL                                        ,$146.00 ,,
DRUG SCREEN QUANTITATIVE PRIMIDONE                                              ,$29.00 ,,
DRUG SCREEN QUANTITATIVE QUINIDINE                                              ,$82.00 ,,
DRUG SCREEN QUANTITATIVE TACROLIMUS                                             ,$74.00 ,,
DRUG SCREEN QUANTITATIVE THEOPHYLLINE                                           ,$55.00 ,,
DRUG SCREEN QUANTITATIVE TOBRAMYCIN                                             ,$82.00 ,,
DRUG SCREEN QUANTITATIVE TOPIRAMATE                                             ,$68.00 ,,
DRUG SCREEN QUANTITATIVE VANCOMYCIN                                             ,$178.00 ,,
DRUG SCREENING BARBITURATES                                                     ,$101.00 ,,
DRUG SCREENING BENZODIAZEPINES 1-12                                             ,$192.00 ,,
DRUG SCREENING BUPRENORPHINE                                                    ,$171.00 ,,
DRUG SCREENING COCAINE                                                          ,$133.00 ,,
DRUG SCREENING FENTANYL                                                         ,$79.00 ,,
DRUG SCREENING HEROIN METABOLITE                                                ,$79.00 ,,
DRUG SCREENING METHADONE                                                        ,$144.00 ,,
DRUG SCREENING METHYLENEDIOXYAMPHETAMINES                                       ,$63.00 ,,
DRUG SCREENING METHYLPHENIDATE                                                  ,$157.00 ,,
DRUG SCREENING OPIATES 1 OR MORE                                                ,$171.00 ,,
DRUG SCREENING OXYCODONE                                                        ,$93.00 ,,
DRUG SCREENING TAPENTADOL                                                       ,$157.00 ,,
DRUG TEST PRSMV READ DIRECT OPTICAL OBS PR DATE                                 ,$14.00 ,,
"DRUG TEST(S), DEFINITIVE, UTILIZING (1) DRUG IDENTIFICA                         ",$211.00 ,,
DRUG TST PRSMV INSTRMNT CHEM ANALYZERS PR DATE                                  ,$160.00 ,,
DRUG TST PRSMV READ INSTRMNT ASSTD DIR OPT OBS                                  ,$195.00 ,,
DSTR NROLYTC AGNT PARVERTEB FCT ADDL CRVCL/THORA                                ,"$2,358.00 ",,
DSTR NROLYTC AGNT PARVERTEB FCT ADDL LMBR/SACRAL                                ,"$1,890.00 ",,
DSTR NROLYTC AGNT PARVERTEB FCT SNGL CRVCL/THORA                                ,"$2,358.00 ",,
DSTR NROLYTC AGNT PARVERTEB FCT SNGL LMBR/SACRAL                                ,"$3,245.00 ",,
DSTRJ LESION ANUS EXTENSIVE                                                     ,"$1,686.00 ",,
DSTRJ LESION ANUS SIMPLE CHEMICAL                                               ,"$2,258.00 ",,
DSTRJ LESION ANUS SIMPLE CRYOSURGERY                                            ,$546.00 ,,
DSTRJ LESION ANUS SIMPLE SURG EXCISION                                          ,"$3,104.00 ",,
DSTRJ LESION ANUS SMPL ELTRDSICCATION                                           ,"$2,358.00 ",,
DSTRJ LESION CHOROID PC 1/> SESS                                                ,"$1,624.00 ",,
DSTRJ LESION PENIS EXTENSIVE                                                    ,"$3,789.00 ",,
DSTRJ LESION PENIS SIMPLE CHEMICAL                                              ,$562.00 ,,
DSTRJ LESION PENIS SIMPLE CRYOSURGERY                                           ,$464.00 ,,
DSTRJ LESION PENIS SIMPLE ELECTRODESICCATION                                    ,"$1,609.00 ",,
DSTRJ LOCLZD LESION RETINA 1/> SESS CRTX DTHRM                                  ,"$1,628.00 ",,
DSTRJ LOCLZD LESION RETINA 1/> SESS PC                                          ,"$2,181.00 ",,
DSTRJ MAL LESION S/N/H/F/G LESION DIAM > 4.0 CM                                 ,$666.00 ,,
DSTRJ NEURLYTIC TRIGEM NRV 2/3 DIV RADIO MONITOR                                ,"$2,245.00 ",,
DSTRJ NEUROLYTIC AGENT INTERCOSTAL NERVE                                        ,"$1,940.00 ",,
DSTRJ NEUROLYTIC AGENT OTHER PERIPHERAL NERVE                                   ,"$1,604.00 ",,
DSTRJ NEUROLYTIC PLANTAR COMMON DIGITAL NERVE                                   ,$223.00 ,,
DSTRJ NEUROLYTIC TRIGEMINAL NRV 2/3 DIV BRANCH                                  ,"$2,908.00 ",,
DSTRJ NEUROLYTIC W/WO RAD MONITOR CELIAC PLEXUS                                 ,"$4,357.00 ",,
DSTRJ NULYT W/WORAD MNTR SUPRIOR HYPOGSTR PLEXUS                                ,"$2,821.00 ",,
DSTRJ TRIGEMINAL NRV SUPRAORB INFRAORB BRANCH                                   ,"$1,940.00 ",,
DUODENAL INTUBAT W/IMAG GUIDED MULTIPLE SPECIMEN                                ,$190.00 ,,
DUPLEX SCAN EXTRACRANIAL ART COMPL BI STUDY                                     ,$934.00 ,,
