MASSACHUSETTS GENERAL HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
72000006,HC FETAL CONTRACTION STRESS TEST,"$1,046.00"
72000005,HC CHORIONIC VILLUS SAMPLING,"$1,831.00"
72000004,HC CORDOCENTESIS INTRAUTERINE,"$2,803.00"
72000002,HC AMNIOCENTESIS DIAGNOSTIC,"$1,123.00"
71175996,HC MGH INJ FLUCONAZOLE 200 MG,I.C.
71164651,HC MGH INJ IDARUCIZUMAB PER 2500MG,I.C.
71164644,HC MGH INJ BENDEKA(BENDAMUSTINE HCL)  100 MG/4ML,I.C.
71164610,HC MGH INJ DINUTUXIMAB 17.5MG/5ML,I.C.
71164602,HC MGH INJ FERRIC PYROPHOSPHATE CITRATE 0.1MG OF IRON,I.C.
71164545,HC MGH BUPRENORPHIN/NALOX UP TO 3MG O ORAL,I.C.
71164537,HC MGH NETUPITANT 300MG & PALONOSETRON 0.5MG ORAL,I.C.
71164529,HC MGH COMPOUNDED DRUG NOC,I.C.
71164511,HC MGH INJ SILTUXIMAB 10 MG,I.C.
71164503,HC MGH INJ PASIREOTIDE LONG ACTING 1 MG,I.C.
71164495,HC MGH INJ NIVOLUMAB 1 MG,I.C.
71164487,HC MGH INJ CEFTOLOZANE 50MG & TAZOBACTAM 25MG,I.C.
71164479,HC MGH INJ PERAMIVIR 1 MG,I.C.
71164461,HC MGH INJ BLINATUMOMAB 1 MCG,I.C.
71164453,HC MGH INJ TEDIZOLID PHOSPHATE 1 MG,I.C.
71164446,HC MGH INJ ORITAVANCIN  10MG,I.C.
71164438,HC MGH INJ BELINOSTAT 10MG,I.C.
71164420,HC MGH INJ PEMBROLIZUMAB 1 MG,I.C.
71164412,HC MGH INJ VEDOLIZUMAB  1 MG,I.C.
71164404,HC MGH INJ RAMUCIRUMAB  5 MG,I.C.
71164156,"HC MGH INJECTION, ALEMTUZUMAB",I.C.
71164149,HC MGH PREDNISONE IR OR DR ORAL 1MG,I.C.
71164131,HC MGH INJ SULF HEXA LIPID MICROSPH PER ML,I.C.
71164123,HC MGH CHOLERA VACCINE LIVE ORAL,I.C.
71164115,HC MGH TACROL ENVARSUS EX REL ORAL  0.25 MG,I.C.
71164107,HC MGH 5% DEXTROSE IN LAC RINGERS UP TO 1000 CC,I.C.
71164099,HC MGH CEFTAZIDIME AND AVIBACTAM 0.5 G/0.125 G,I.C.
71164081,HC MGH INJ ALEMTUZUMAB PER 1 MG,I.C.
71164073,HC MGH PREDNISONE ORAL IR OR DR  PER 1 MG,I.C.
71164065,"HC MGH INJ, TBO-FILGRASTIM, 1 MCG",I.C.
71164057,HC MGH INJ DALBAVANCIN 5 MG,I.C.
71164040,HC MGH PROMETHAZINE HCL 12.5MG ORAL,I.C.
71164032,HC MGH INJ ISAVUCONAZONIUM SULFATE 372MG = ISAVUCONAZOLE 200MG,I.C.
71164024,HC MGH INJ 2G CEFTAZIDIME/ 0.5G AVIBACTAM,I.C.
71164016,HC MGH MENINGOCOCCAL B RP W/OMV VACCINE IM/ BEXSERO,I.C.
71163984,HC MGH CYCLOSPORINE ORAL 25 MG,I.C.
71163976,HC MGH CYCLOSPORINE ORAL 100 MG,I.C.
71163919,"HC MGH INJ PENG BENZATHINE/PROCAINE 100,000 UNITS",I.C.
71163901,HC MGH PROCHLORPERAZINE MALEATE 5MG,I.C.
71163893,HC MGH PERPHENAZINE 4MG ORAL,I.C.
71163885,HC MGH HPV VIRUS VACCINE 9 VAL IM,I.C.
71163877,HC ORAL TEDIZOLID 200MG TAB,I.C.
71163810,HC INJ NIVOLUMAB 40MG,I.C.
71163802,HC INJ NIVOLUMAB 100MG,I.C.
71163794,"HC MGH INJECTION, HYDROXYPROGESTERONE CAPROATE, 1MG",I.C.
71163786,"HC MGH INJECTION, ADALIMUMAB 20MG",I.C.
71163752,HC MGH BUPRENORPHIN/NALOX UP TO 3MG ORAL,I.C.
71163745,HC MGH BUPRENORPHINE ORAL 1MG,I.C.
71163737,"HC MGH INJECTION, TESTOSTERONE CYPIONATE, 1MG",I.C.
71163729,"HC MGH INJECTION, ADENOSINE, 1 MG",I.C.
71163703,HC MGH INJ TESTOSTERONE ENANTHATE 1MG,I.C.
71163695,HC MGH INJECTION MORPHINE PRESERVATIV FREE PER 10MG,I.C.
71163687,"HC MGH INJECTION, PROPOFOL, 10 MG",I.C.
71163679,"HC MGH INJECTION, PACLITAXEL, 1 MG",I.C.
71163661,HC MGH INJ CEPHALOTHIN SOD UP TO 1GM,I.C.
71163653,HC MGH INJ DARBEPOETIN ALPH ESRD PER 1MCG,I.C.
71163646,HC MGH EPO ESRD 100 UNITS OVER 10000,I.C.
71163638,HC MGH FACTOR VIII RECOMBINANT NOS  PER IU (HELIXATE FS),I.C.
71163620,HC MGH FACTOR VIIA (NOVOSEVEN) PER 1 MICROGRAM,I.C.
71163612,HC MGH INJ VON WILLLEBRAND FACTOR,I.C.
71163604,HC MGH FACTOR IX RECOMBINANT PER IU (BENEFIX RT),I.C.
71163588,HC MGH INJ TEMOZOLOMIDE PER 1 MG,I.C.
71163570,HC MGH EPO ESRD 100 UNITS UNDER 10000,I.C.
71163539,HC MGH FLU VAC NO PRSV 4 VAL 6-35 M,I.C.
71163521,HC MGH FLU VAC NO PRSV 4 VAL 3 YRS+,I.C.
71163513,HC MGH FLU VACC PRSV FREE INC ANTIG (HIGH DOSE),I.C.
71163505,HC MGH INJ METHOHEXITAL 100 MG/10ML,I.C.
71163489,HC MGH INJ ARIPIPRAZOLE EXT REL 1MG,I.C.
71163455,HC MGH INJ SILTUXIMAB 100MG,I.C.
71163422,HC MGH SERMORELIN ACETATE INJECTION PER 1 MCG,I.C.
71163414,HC MGH INJ MIDAZOLAM HCL PER 1 MG,I.C.
71163406,HC MGH INJ LACOSAMIDE  PER 1 MG,I.C.
71163398,"HC MGH LOCM 200-299MG/ML IODINE,1ML",I.C.
71163380,HC MGH INJ GLUCARPIDASE 10UNITS,I.C.
71163372,HC MGH INJ ACETAMINOPHEN 10MG,I.C.
71163364,HC MGH ANTITHYMOCYTEGLOBULNRABBIT25MG,I.C.
71163356,HC MGH LYMPHOCYTEIMMUNEGLOBULIN250MG,I.C.
71163349,HC MGH DTAP VACCINE < 7 YRS IM,I.C.
71163331,HC MGH MENINGOCOCCAL VACCINE IM,I.C.
71163323,HC MGH INJ OBINUTUZUMAB PER 10MG,I.C.
71163315,HC MGH INJ PREDNISOLONE ACETATE 1ML,I.C.
71163307,HC MGH PREDNISOLONE ORAL PER 5 MG,I.C.
71163299,HC MGH IMMUNE GLOBULIN POWDER 500MG,I.C.
71163281,HC MGH INJ DEGARELIZ 1 MG,I.C.
71163273,HC MGH INJ ALPHA1 INHIBITOR NOS 10MG,I.C.
71163265,HC MGH QUINUPRISTIN/DALFOPRISTIN500MG,I.C.
71163257,HC MGH INJ TELAVANCIN 10MG,I.C.
71163240,HC MGH INJ NELARABINE 50MG,I.C.
71163232,HC MGH DIPHENHYDRAMINE HCL 50MG ORAL,I.C.
71163224,HC MGH 7NJ USTEKINUMAB 1 MG,I.C.
71163216,HC MGH TEMOZOLOMIDE ORAL PER 5MG,I.C.
71163190,HC MGH SIROLIMUS ORAL PER 1MG,I.C.
71163158,HC MGH CHLORPROMAZINE HC MGHL 5MG ORAL,I.C.
71163141,"HC MGH INJECTION, PERTUZUMAB, 1 MG",I.C.
71163125,"HC MGH INJ, FILGRASTIM G-CSF EXCLUDES BIOSIMILARS 1MCG",I.C.
71163117,HC MGH TACROLIMUS EX REL (ASTAGRAF XL) ORAL 0.1MG,I.C.
71163109,HC MGH TACROLIMUS IMME REL ORAL 1MG,I.C.
71163059,HC MGH BELIMUMAB INJECTION,I.C.
71163042,HC MGH BIVALIRUDIN,I.C.
71163034,HC MGH MICAFUNGIN SODIUM INJECTION,I.C.
71163026,HC MGH COSYNTROPIN INJECTION NOS 0.25MG,I.C.
71163018,HC MGH HEP A/HEP B VACC ADULT IM,I.C.
71163000,HC MGH HEP A VACC PED/ADOL 3 DOSE IM,I.C.
71162903,HC MGH HEP A VACC PED/ADOL 2 DOSE IM,I.C.
71162895,HC MGH HEP A VACCINE ADULT IM,I.C.
71162887,HC MGH HEP B VACC ADOL 2 DOSE IM,I.C.
71162879,HC MGH HEPB VACC ILL PAT 3 DOSE IM,I.C.
71162861,HC MGH SKYLA IUD 13.5MG LEVONORGESTRE,I.C.
71162853,HC MGH INJ DOXORUBICIN LIPOSOMAL 10MG,I.C.
71162846,HC MGH PNEUMO VACC ADMIN GIVEN AS ADD,I.C.
71162838,HC MGH FLU VACC ADMIN GIVEN AS ADDL,I.C.
71162820,HC MGH PNEUMO VACC ADMIN GIVEN AS 1ST,I.C.
71162812,HC MGH FLU VACC ADMIN GIVEN AS 1ST,I.C.
71162804,HC MGH INJ ZOLEDRONIC ACID NOS PER 1,I.C.
71162796,HC MGH MMRV VACCINE SC,I.C.
71162788,HC MGH PNEUMOCOCCAL VACC 13 VAL IM,$325.36
71162770,HC MGH DTAP-IPV VACC 4-6YR IM-KINERIX,I.C.
71162762,HC MGH DTAP-HIB-IP VACC IM-PENTACEL,I.C.
71162754,HC MGH DTAP-HEP B-IPV VACC PEDIARIX,I.C.
71162747,HC MGH INJ ADO-TRASTUZUMAB 1 MG,I.C.
71162721,HC MGH ASPARAGINASE-ERWINAZE 1000 IU,I.C.
71162713,HC MGH OPTHALMIC MITOMYCIN 0.2 MG,I.C.
71162705,HC MGH INJ METHYLNALTREXONE  0.1 MG,I.C.
71162697,HC MGH INJ ICATIBANT 1 MG,I.C.
71162689,HC MGH INJ IBUPROFEN 100 MG,I.C.
71162671,HC MGH INJ AFLIBERCEPT 1 MG,I.C.
71162663,HC MGH INJ ZIV-AFLIBERCEPT  1 MG,I.C.
71162655,HC MGH INJ TALIGLUCERASE ALFA 10 UNIT,I.C.
71162648,HC MGH INJ DEPO-PROVERA CONTRAC 1MG,I.C.
71162630,HC MGH INJ CARFILZOMIB  1 MG,I.C.
71162614,HC MGH INJ SOD FERRIC GLUC CMP 12.5MG,I.C.
71162606,HC MGH INJ DALTEPARIN SOD PER 2500 IU,I.C.
71162598,HC MGH INJ COSYNTROPIN PER 0.25 MG,I.C.
71162580,HC MGH BLEOMYCIN 15 UNITS,I.C.
71162572,HC MGH CARMUSTINE (BICNU) 100 MG,I.C.
71162564,HC MGH BCG PER INSTILLATION,I.C.
71162556,HC MGH ASPARAGINASE 10 000 UNITS,I.C.
71162531,HC MGH INJ IMPORTED LIPODOX 10 MG,I.C.
71162523,HC MGH TACROLIMUS ORAL PER 1 MG,I.C.
71162515,HC MGH INJ ROMIDEPSIN 1 MG,I.C.
71162507,HC MGH DEXTRAZOXANE HCL TOTECT 250 MG,I.C.
71162499,HC MGH INJ BELATACEPT 1 MG,I.C.
71162481,HC MGH INJ FERUMOXYTOL 1 MG -ESRD USE,I.C.
71162473,HC MGH INJ FERUMOXYTOL 1 MG NON-ESRD,I.C.
71162465,HC MGH INJ ECULIZUMAB 10MG,I.C.
71162457,HC MGH INJ BRENTUXIMAB 1 MG,I.C.
71162440,HC MGH INJ LEVOLEUCOVORIN CA 0.5MG,I.C.
71162432,HC MGH IVIG GAMMAGARD NON-LYOPH  500M,I.C.
71162424,HC MGH INJ GAMMAPLEX NON-LYOPH 500MG,I.C.
71162416,HC MGH INJ DENOSUMAB 1 MG,I.C.
71162408,HC MGH ONDANSETRON ORAL PER 1 MG,I.C.
71162390,HC MGH INJ ERIBULIN MESYLATE   0.1MG,I.C.
71162382,HC MGH INJ LUMIZYME 10MG,I.C.
71162374,HC MGH INJ FOSAPREPITANT EMEND 1MG,I.C.
71162366,HC MGH DEXAMETHASONE ORAL PER 0.25MG,I.C.
71162358,HC MGH AFLURIA VACC 3 YRS OR > IM,I.C.
71162333,HC MGH INJ IPILIMUMAB 1 MG,I.C.
71162317,HC MGH INJ ACYCLOVIR SODIUM 5MG,I.C.
71162309,HC MGH FLUVIRIN VACC 3 YRS OR > IM,I.C.
71162291,HC MGH INJ FLUZONE PEDIATRIC,I.C.
71162267,HC MGH INJ LEVOCARNITINE PER 1 GRAM,I.C.
71162242,HC MGH DACLIZUMAB PARENTERAL 25 MG,I.C.
71162200,HC MGH INJ TOPOTECAN 0.1MG,I.C.
71162176,HC MGH FLUARIX VACC 3 YRS OR > IM,I.C.
71162168,HC MGH FLUZONE VACC 3 YRS OR > IM,I.C.
71162150,HC MGH FLULAVAL VACC 3 YRS OR > IM,I.C.
71162143,HC MGH NDC 00517-9120-25 AMINOCARPOIC,I.C.
71162127,HC MGH INJ CABAZITAXEL 1 MG,I.C.
71162119,HC MGH INJ IMIGLUCERASE 10 UNITS,I.C.
71162101,HC MGH INJ ESTRADIOL VALERATE TO 10MG,I.C.
71162093,HC MGH INJ PEN G BENZATHINE 100000 U,I.C.
71162085,HC MGH INJ ADRENALIN/ EPI  0.1MG,I.C.
71162077,HC MGH INJ ATROPINE SULFATE 0.01MG,I.C.
71162069,HC MGH HEMOPHILUS INFLUENZA B VACCINE,I.C.
71162051,HC MGH PROVENGE NDC 30237-8900-06,I.C.
71162044,HC MGH INJ VELAGLUCERASE 100 UNITS,I.C.
71162036,HC MGH INJ TOCILIZUMAB PER 1 MG,I.C.
71162002,HC MGH INJ HYDROCORTISONE SODSUC100MG,I.C.
71161988,HC MGH INJ OFATUMUMAB 10 MG,I.C.
71161970,HC MGH INJ POTASSIUM CHLORIDE  2MEQ,I.C.
71161962,HC MGH INJ DEXAMETHASONE SOD PHOS 1MG,I.C.
71161954,HC MGH INJ CALCIUM GLUCONATE PER 10ML,$5.44
71161947,HC MGH MENINGOCOCCAL POLYSACC VACC SC,I.C.
71161939,HC MGH TDAP VACCINE > 7 IM,I.C.
71161921,HC MGH INJ DIAZEPAM UP TO 5MG,I.C.
71161913,HC MGH INJ MEPERIDINE HCL PER 100MG,I.C.
71161905,HC MGH INJ HYDROMORPHONE UP TO 4MG,I.C.
71161897,HC MGH INJ NALOXONE 1MG,I.C.
71161889,HC MGH INJ FAMOTIDINE 20 MG,I.C.
71161871,HC MGH INJ PRALATREXATE 1 MG,I.C.
71161863,HC MGH HYLAN G F 20 SYNVISC 1 MG,I.C.
71161855,HC MGH DOCETAXEL INJ 1 MG,I.C.
71161848,HC MGH INJ C1 ESTERASE INHIB 10 UNTS,I.C.
71161814,HC MGH IVIG FLEBOGAMMA NONLYOPH 500MG,I.C.
71161806,HC MGH INJ VITAMIN K PHYTONADIONE 1MG,I.C.
71161798,HC MGH INJ PLERIXAFOR (MOZOBIL) 1 MG,I.C.
71161780,HC MGH INJ BENDAMUSTINE HCL 1 MG,I.C.
71161772,HC MGH INJ RANITIDINE 25MG,I.C.
71161764,HC MGH INJ METOCLOPRAMIDE HCL 10 MG,I.C.
71161756,HC MGH INJ ROMIPLOSTIM NPLATE 10 MCG,I.C.
71161749,HC MGH INJ ROMIPLOSTIM NPLATE 10 MCG,I.C.
71161715,HC MGH INJ LEVETIRACETAM 10MG,I.C.
71161707,HC MGH IXABEPILONE 1MG,I.C.
71161699,HC MGH INJ HEPAGAM B  IM 0.5ML,I.C.
71161681,HC MGH HEPARIN SODIUM PER 1000UNITS,I.C.
71161665,HC MGH HEPARIN SODIUM PER 1000 UNITS,I.C.
71161640,HC MGH TEMSIROLIMUS 1MG,I.C.
71161624,HC MGH DIPYRIDAMOLE 10 MG,I.C.
71161616,HC MGH RSV MAB IM 50MG,I.C.
71161608,HC MGH INJ PANITUMUMAB 10 MG,I.C.
71161590,HC MGH IRON SUCROSE 1 MG,I.C.
71161566,HC MGH INJ TERBUTALINE SULF UPTO 1 MG,I.C.
71161558,HC MGH INJ FENTANYL CITRATE 0.1MG,I.C.
71161541,HC MGH INJ SINCALIDE 5 MCG,I.C.
71161533,HC MGH FLUPHENAZINE DECAN UP TO 25 MG,I.C.
71161525,HC MGH FLUPHENAZINE DECAN UP TO 25 MG,I.C.
71161517,HC MGH INJ PENTOBARBITAL SODIUM 50 MG,I.C.
71161509,HC MGH OCTREOTIDE NON-DEPOT  25 MCG,I.C.
71161491,HC MGH OCTREOTIDE NON-DEPOT  25 MCG,I.C.
71161483,HC MGH INJ MOXIFLOXACIN 100 MG,I.C.
71161467,HC MGH INJ MORPHINE SULFATE UPTO 10MG,I.C.
71161459,HC MGH LEVOFLOXACIN  250 MG,I.C.
71161434,HC MGH INSULIN PER 5 UNITS,I.C.
71161426,HC MGH INSULIN PER 5 UNITS,I.C.
71161418,HC MGH INJ PROPRANOLOL HCL UPTO 1 MG,I.C.
71161400,HC MGH INJ ENOXAPARIN SODIUM 10 MG,I.C.
71161384,HC MGH INJ ERTAPENEM SODIUM 500 MG,I.C.
71161376,HC MGH METHADONE HCL UP TO 10 MG,I.C.
71161368,HC MGH DIMETHYL SULFOXIDE 50% 50 ML,I.C.
71161327,HC MGH CHORI0 GONADOTROPIN PER 1000 U,I.C.
71161319,HC MGH CEFTAZIDIME PER 500 MG,I.C.
71161285,HC MGH BENZTROPINE MESYLATE PER 1 MG,I.C.
71161277,HC MGH INJ NATALIZUMAB PER 1 MG,I.C.
71161269,HC MGH INJ TENIPOSIDE 50 MG,I.C.
71161251,HC MGH PEGASPARGASE SINGLE DOSE VIAL,I.C.
71161210,HC MGH HYALURONIDASE RECOMB 1USP U,I.C.
71161202,HC MGH INJ UROKINASE  250 000 IU VIAL,I.C.
71161194,HC MGH INJ TRIMETREXATE GLUCURO  25 M,I.C.
71161186,HC MGH INJ TREPROSTINIL 1 MG,I.C.
71161178,HC MGH INJ TIROFIBAN HCL 0.25MG,I.C.
71161160,HC MGH INJ TIGECYCLINE 1 MG,I.C.
71161152,HC MGH INJ THYROTROPIN ALPHA 0.9 MG,I.C.
71161145,HC MGH INJ RETEPLASE 18.1 MG,I.C.
71161137,HC MGH INJ SECRETIN PER 1 MCG,I.C.
71161129,HC MGH INJ RISPERIDONE LA 0.5 MG,I.C.
71161111,HC MGH INJ  PALIFERMIN 50 MCG,I.C.
71161103,HC MGH INJ OMALIZUMAB/XOLAIR PER 5MG,I.C.
71161095,HC MGH INJ OPRELVEKIN 5 MG,I.C.
71161079,HC MGH INJ NESIRITIDE 0.1 MG,I.C.
71161061,HC MGH INJ LINEZOLID 200 MG,I.C.
71161053,HC MGH LEUPROL ACE DEPOT PER 3.75 MG,I.C.
71161046,HC MGH INJ ITRACONAZOLE 50 MG,I.C.
71161020,HC MGH INJ IBUTILIDE FUMARATE 1 MG,I.C.
71161012,HC MGH TETANUS IMMUN GLOB UPTO 250 U,I.C.
71161004,HC MGH INJ HEMIN 1 MG,I.C.
71160998,HC MGH INJ GONADORELIN HYDROC 100 MCG,I.C.
71160972,HC MGH INJ FOSCARNET SOD PER 1000 MG,I.C.
71160964,HC MGH INJ  ESTROGEN CONJUGATE 25 MG,I.C.
71160956,HC MGH ERGONOVINE MALEAT UP TO 0.2 MG,I.C.
71160949,HC MGH EPTIFIBATIDE 5 MG,I.C.
71160931,HC MGH INJ ENFUVIRTIDE 1 MG,I.C.
71160923,HC MGH CHLOROTHIAZIDE SODIUM INJ,I.C.
71160915,HC MGH INJ CORTICTROPIN UP TO 40UNITS,I.C.
71160907,HC MGH CORTICORELIN OVINE TRIFL 1 MCG,I.C.
71160899,HC MGH CIDOFOVIR 375 MG,I.C.
71160881,HC MGH CLONIDINE HYDROCHLORIDE 1 MG,I.C.
71160865,HC MGH BOTULINUM TOXIN B PER 100 U,I.C.
71160857,HC MGH BOTULINUM TOXIN TYPE A PER U,I.C.
71160840,HC MGH INJ BASILIXIMAB 20 MG,I.C.
71160832,HC MGH BACLOFEN 50 MCG INTRATHECAL,I.C.
71160824,HC MGH BACLOFEN 10 MG,I.C.
71160782,HC MGH METHYLDOPATE HCL UP TO 250 MG,I.C.
71160774,HC MGH AGALSIDASE BETA 1 MG,I.C.
71160758,HC MGH ACETYLCYSTEINE INJ  100 MG,I.C.
71160741,HC MGH ALGLUCOSIDASE ALFA 10 MG,I.C.
71160733,HC MGH INJ IDURSULFASE 1 MG,I.C.
71160725,HC MGH METHYLPREDNISOLONE SOD SUC40MG,I.C.
71160717,HC MGH INJ PALONESETRON HCL 25MCG,I.C.
71160691,HC MGH APREPITANT 125 MG CAPSULE,I.C.
71160683,HC MGH EMEND TRI PAK APREPITANT 5MG,I.C.
71160667,HC MGH AMIKACIN SULFATE 100MG,I.C.
71160642,HC MGH ZOSTER SHINGLES VACCINE DOSE,I.C.
71160634,HC MGH HPV VACCINE 4 VALENT IM,I.C.
71160618,HC MGH ABATACEPT 10MG,I.C.
71160592,HC MGH DECITABINE (DACOGEN)  1MG,I.C.
71160576,HC MGH INJ AMPHOB LIPID CPLX 10MG,I.C.
71160568,HC MGH MYCOPHENOLATE ORAL 250MG,I.C.
71160550,"HC MGH MYCOPHENOLIC ACID 180MG, ORAL",I.C.
71160543,HC MGH ALTEPLASE 1MG VIAL,I.C.
71160535,HC MGH AMIODARONE HCL 30MG/ML VIAL,I.C.
71160527,HC MGH AMINOPHYLLINE 250MG/10ML VL,I.C.
71160519,HC MGH INJECTION MEROPENEM 100 MG,I.C.
71160485,HC MGH INJ STREPTOMYCIN UP TO 1 GRAM,I.C.
71160477,HC MGH INJ STREPTOKINASE 250000 IU,I.C.
71160451,HC MGH INJ PEN G PROCAINE 600000 U,I.C.
71160444,HC MGH INJ PEN G POTASSIUM 600000 U,I.C.
71160436,HC MGH TYPHOID VAC (VICPS) IM USE,I.C.
71160410,HC MGH RABIES VACCINE IM,I.C.
71160394,HC MGH INJECTION LEPIRUDIN 50 MG,I.C.
71160386,HC MGH INJECTION DIAZOXIDE UP TO 30MG,I.C.
71160378,HC MGH INJECTION EPOPROSTENOL 0.5 MG,I.C.
71160360,HC MGH INJ ZIPRASIDONE MESYLATE 10 MG,I.C.
71160352,HC MGH INJ VORICONAZOLE 10MG,I.C.
71160345,HC MGH TACROLIMUS PARENTERAL 5MG,I.C.
71160329,HC MGH INJ CEFOTAXIME SODIUM PER GRAM,I.C.
71160311,HC MGH INJ CEFEPIME HYDROCHLR 500MG,I.C.
71160303,HC MGH INJ CEFAZOLIN SODIUM 500MG,I.C.
71160295,HC MGH INJ CASPOFUNGIN ACETATE 5MG,I.C.
71160279,HC MGH AZATHIOPRINE PARENTERAL 100MG,I.C.
71160253,HC MGH INJ APROTONIN 10000 KIU,I.C.
71160246,HC MGH INJ AMPIC/SULBACTAM PER 1.5GM,I.C.
71160238,HC MGH INJ AMPICILLIN SODIUM 500 MG,I.C.
71160220,HC MGH INJ TRIAMICINOLONE PER 10 MG,I.C.
71160212,HC MGH INJ TORSEMIDE 10 MG/ML,I.C.
71160204,HC MGH INJ TOBRAMYCIN SULF UP TO 80MG,I.C.
71160196,HC MGH INJ SUMATRIPTAN SUCCINATE 6 MG,I.C.
71160188,HC MGH INJ PRALIDOXIME CHLR UP TO 1GM,I.C.
71160170,HC MGH INJ PIPERACILLIN/TAZOBACTAM,I.C.
71160162,HC MGH INJ PARICALCITOL 1 MCG,I.C.
71160154,HC MGH INJ OXACILLIN SOD UP TO 250MG,I.C.
71160147,HC MGH MYCOPHENOLATE ORAL 250MG,I.C.
71160139,HC MGH INJ MILRONONE LACTATE 5 MG,I.C.
71160121,HC MGH INJ KETOROLAC TROMETHAMIN 15MG,I.C.
71160113,HC MGH INJ KANAMYCIN SUL UP TO 500 MG,I.C.
71160105,HC MGH INJECTION INFLIXIMAB 10 MG,I.C.
71160097,HC MGH INJ CILASTATIN PER 250 MG,I.C.
71160089,HC MGH INJECTION MELPHALAN HC1 50 MG,I.C.
71160071,HC MGH INJ HALOPERIDOL DEC PER 50 MG,I.C.
71160063,HC MGH INJ HALOPERIDOL UP TO 5 MG,I.C.
71160055,HC MGH-GLYCOPYRROLATE INH SOL PER MG,I.C.
71160048,HC MGH INJ GLUCAGON HCL PER 1 MG,I.C.
71160030,HC MGH INJ GANCICLOVIR SODIUM 500 MG,I.C.
71160014,HC MGH INJECTION FOSPHENYTOIN 50 MG,I.C.
71160006,HC MGH INJ FONDARPARINUX SOD 0.5 MG,I.C.
71159990,HC MGH INJ FLUCONAZOLE 200 MG,I.C.
71159982,HC MGH INJ FOMEPIZOLE 15 MG,I.C.
71159974,HC MGH INJ ERYTHROMYCIN PER 500 MG,I.C.
71159966,HC MGH INJ EDETATE CAL DIS TO 1000 MG,I.C.
71159958,HC MGH INJECTION DOPAMINE HCL 40 MG,I.C.
71159941,HC MGH INJ DOBUTAMINE HCL PER 250 MG,I.C.
71159933,HC MGH INJ DIMERCAPROL PER 100 MG,I.C.
71159925,HC MGH INJ DIHYDROERGOTAMINE 1 MG,I.C.
71159917,HC MGH INJECTION DIGOXIN UP TO 0.5 MG,I.C.
71159909,HC MGH INJ DENILEUKIN DIFITOX 300MCG,I.C.
71159891,HC MGH DAUNORUBICIN LIPOSOMAL 10 MG,I.C.
71159883,HC MGH INJECTION DAPTOMYCIN 1 MG,I.C.
71159859,HC MGH CYCLOSPORINE PARENTERAL 250 MG,I.C.
71159834,HC MGH EDATE DISODIUM PER 150 MG,I.C.
71159826,HC MGH INJ DIHYDROERGOTAMINE 1 MG,I.C.
71159818,HC MGH INJ COSYNTROPIN PER 0.25 MG,I.C.
71159800,HC MGH INJ COLISTIMETHATE SOD 150 MG,I.C.
71159792,HC MGH INJ CIPROFLOXACIN IV 200 MG,I.C.
71159784,HC MGH INJ CEFUROXIME SOD PER 750MG,I.C.
71159776,HC MGH INJECTION CALCITRIOL 0.1 MCG,I.C.
71159768,HC MGH INJ CALCITONIN SALMON TO 400 U,I.C.
71159750,HC MGH INJ CAFFEINE CITRATE 5 MG,I.C.
71159743,HC MGH INJ BUTORPHANOL TARTRATE 1 MG,I.C.
71159719,HC MGH INJ ABCIXIMAB 10MG,I.C.
71159701,HC MGH INJ CLOFARABINE 1 MG,I.C.
71159693,HC MGH ERLOTINIB 150 MG TABLET,I.C.
71159685,HC MGH ERLOTINIB 100 MG TABLET,I.C.
71159677,HC MGH OXALIPLATIN 0.5 MG,I.C.
71159669,HC MGH AZACTIDINE 1MG INJ,I.C.
71159651,HC MGH INJ BORTEZIMIB (VELCADE) .1 MG,I.C.
71159644,HC MGH FASLODEX 25 MG,I.C.
71156632,HC MGH-PENTAMIDINE ISETHIONATE 300MG,I.C.
71140016,HC MGH INJ FILGRASTIM G-CSF BIOSIM PER 1 MCG,I.C.
71104509,HC MGH ALBUMIN BOUND PACLITAXEL 1MG,I.C.
71104483,HC MGH CETUXIMAB 10MG,I.C.
71104475,HC MGH BEVACIZUMAB 10MG,I.C.
71104467,HC MGH PEMETREXED 10MG,I.C.
71104459,HC MGH INJ RASBURICASE 0.5MG,I.C.
71104400,HC MGH INJ BUSULFAN PER 1 MG,I.C.
71104053,HC MGH ARSENIC TRIOXIDE 1MG,I.C.
71104012,HC MGH GOSERELIN 3.6 MG,I.C.
71102867,HC MGH METHYLPRED SOD SUCC 125 MG,I.C.
71102859,HC MGH AMPHOTERICIN B LIPO 50 MG,I.C.
71102842,HC MGH AMPHOTERICIN B LIPO 10 MG,I.C.
71102826,HC MGH INJ NANDROLONE DECON UPTO 50MG,I.C.
71102818,HC MGH IRON DEXTRAN PER 50 MG,I.C.
71102776,HC MGH INJ CYTARABINE LIPOSOME 10MG,I.C.
71102719,HC MGH PEGFILGRASTIM PER 6MG,I.C.
71102669,HC MGH DARBEPOETIN ALFA 1MCG,I.C.
71102636,HC MGH INJ PORFIMER SODIUM 75 MG,I.C.
71102628,HC MGH GEMTUZUMAB OZOGAM(MYLOTARG)5MG,I.C.
71102610,HC MGH OCTREOTIDE LAR DEPOT PER 1 MG,I.C.
71102586,HC MGH-ESTRAMUSTINE CAP 140 MG,I.C.
